test err 1:0.2483, 3:0.3441, 5:0.3699, 7:0.3814, 10:0.3904
test ndcg 1:0.4988, 3:0.4986, 5:0.5099, 7:0.5253, 10:0.5432
test err 1:0.2483, 3:0.3400, 5:0.3668, 7:0.3792, 10:0.3875
test ndcg 1:0.5241, 3:0.5146, 5:0.5199, 7:0.5309, 10:0.5503
test err 1:0.2534, 3:0.3452, 5:0.3731, 7:0.3831, 10:0.3913
test ndcg 1:0.5126, 3:0.5126, 5:0.5147, 7:0.5327, 10:0.5503
test err 1:0.2483, 3:0.3478, 5:0.3726, 7:0.3849, 10:0.3928
test ndcg 1:0.5276, 3:0.5100, 5:0.5146, 7:0.5292, 10:0.5462
test err 1:0.2560, 3:0.3468, 5:0.3729, 7:0.3844, 10:0.3924
test ndcg 1:0.5011, 3:0.4937, 5:0.5037, 7:0.5210, 10:0.5354
test err 1:0.2448, 3:0.3356, 5:0.3636, 7:0.3762, 10:0.3840
test ndcg 1:0.5299, 3:0.5218, 5:0.5189, 7:0.5316, 10:0.5491
test err 1:0.2543, 3:0.3516, 5:0.3766, 7:0.3877, 10:0.3956
test ndcg 1:0.4632, 3:0.4844, 5:0.4902, 7:0.5082, 10:0.5269
test err 1:0.2233, 3:0.3262, 5:0.3509, 7:0.3622, 10:0.3708
test ndcg 1:0.5011, 3:0.4939, 5:0.5009, 7:0.5153, 10:0.5368
test err 1:0.2414, 3:0.3323, 5:0.3590, 7:0.3708, 10:0.3804
test ndcg 1:0.5057, 3:0.5078, 5:0.5153, 7:0.5303, 10:0.5447
test err 1:0.2466, 3:0.3435, 5:0.3721, 7:0.3824, 10:0.3900
test ndcg 1:0.4908, 3:0.4862, 5:0.5024, 7:0.5169, 10:0.5331
test err 1:0.2353, 3:0.3298, 5:0.3586, 7:0.3711, 10:0.3794
test ndcg 1:0.5161, 3:0.5111, 5:0.5167, 7:0.5277, 10:0.5457
test err 1:0.2509, 3:0.3469, 5:0.3740, 7:0.3838, 10:0.3918
test ndcg 1:0.5011, 3:0.5056, 5:0.5109, 7:0.5291, 10:0.5448
test err 1:0.2397, 3:0.3396, 5:0.3670, 7:0.3791, 10:0.3868
test ndcg 1:0.5149, 3:0.5078, 5:0.5134, 7:0.5264, 10:0.5426
test err 1:0.2552, 3:0.3497, 5:0.3760, 7:0.3863, 10:0.3941
test ndcg 1:0.5368, 3:0.5187, 5:0.5263, 7:0.5356, 10:0.5534
test err 1:0.2629, 3:0.3553, 5:0.3824, 7:0.3921, 10:0.4009
test ndcg 1:0.5149, 3:0.5120, 5:0.5174, 7:0.5354, 10:0.5505
test err 1:0.2483, 3:0.3441, 5:0.3709, 7:0.3835, 10:0.3902
test ndcg 1:0.5218, 3:0.5139, 5:0.5243, 7:0.5290, 10:0.5523
test err 1:0.2517, 3:0.3476, 5:0.3747, 7:0.3852, 10:0.3937
test ndcg 1:0.4874, 3:0.4923, 5:0.5038, 7:0.5248, 10:0.5424
test err 1:0.2310, 3:0.3278, 5:0.3576, 7:0.3704, 10:0.3777
test ndcg 1:0.5103, 3:0.4969, 5:0.5135, 7:0.5256, 10:0.5395
test err 1:0.2466, 3:0.3376, 5:0.3681, 7:0.3795, 10:0.3866
test ndcg 1:0.4851, 3:0.4958, 5:0.5063, 7:0.5216, 10:0.5391
test err 1:0.2345, 3:0.3340, 5:0.3614, 7:0.3727, 10:0.3807
test ndcg 1:0.5207, 3:0.5084, 5:0.5205, 7:0.5334, 10:0.5485
test err 1:0.2509, 3:0.3417, 5:0.3695, 7:0.3820, 10:0.3892
test ndcg 1:0.5046, 3:0.5056, 5:0.5111, 7:0.5263, 10:0.5432
test err 1:0.2388, 3:0.3368, 5:0.3627, 7:0.3751, 10:0.3824
test ndcg 1:0.5057, 3:0.5088, 5:0.5165, 7:0.5270, 10:0.5428
test err 1:0.2483, 3:0.3451, 5:0.3727, 7:0.3828, 10:0.3903
test ndcg 1:0.5011, 3:0.5007, 5:0.5100, 7:0.5261, 10:0.5447
test err 1:0.2362, 3:0.3368, 5:0.3628, 7:0.3752, 10:0.3825
test ndcg 1:0.4943, 3:0.5001, 5:0.5096, 7:0.5230, 10:0.5425
test err 1:0.2414, 3:0.3384, 5:0.3660, 7:0.3768, 10:0.3845
test ndcg 1:0.5011, 3:0.5044, 5:0.5117, 7:0.5243, 10:0.5380
test err 1:0.2414, 3:0.3443, 5:0.3700, 7:0.3800, 10:0.3875
test ndcg 1:0.4862, 3:0.4806, 5:0.4961, 7:0.5116, 10:0.5302
test err 1:0.2233, 3:0.3214, 5:0.3507, 7:0.3622, 10:0.3705
test ndcg 1:0.5149, 3:0.4970, 5:0.5116, 7:0.5217, 10:0.5451
