**************************************************Fold-1**************************************************
test err 1:0.2526, 3:0.3441, 5:0.3707, 10:0.3905, 20:0.3970
test ndcg 1:0.4977, 3:0.4911, 5:0.4954, 10:0.5273, 20:0.5910
test err 1:0.2371, 3:0.3329, 5:0.3587, 10:0.3788, 20:0.3856
test ndcg 1:0.4851, 3:0.4806, 5:0.5016, 10:0.5291, 20:0.5911
test err 1:0.2362, 3:0.3277, 5:0.3569, 10:0.3760, 20:0.3829
test ndcg 1:0.5000, 3:0.4877, 5:0.4929, 10:0.5247, 20:0.5939
test err 1:0.2353, 3:0.3277, 5:0.3539, 10:0.3735, 20:0.3815
test ndcg 1:0.5011, 3:0.4837, 5:0.5004, 10:0.5280, 20:0.5896
test err 1:0.2431, 3:0.3293, 5:0.3598, 10:0.3783, 20:0.3856
test ndcg 1:0.4759, 3:0.4879, 5:0.4955, 10:0.5270, 20:0.5870
